,PORTION BAGS,,,,,
Pb2e,2lb. Poly bags    ,1000pcs,,,,
Pb3ea,3lb poly bags  ,1000pcs,,,,
Pb4ea,4lb.  Poly bags ,1000pcs,,,,
Pb5e,5lb poly bags,500pcs,,,,
Pb6e,6lb poly bags,500pcs,,,,
Pb8e,8 lb. Poly bags ,500pcs,,,,
Pb9e,9lb. Poly bags ,500pcs,,,,
Pb10e,10 lb poly bags,500pcs,,,,
Pb11e,11lb poly bags,500pcs,,,,
Pb12e,12 lb poly bags,500pcs,,,,
,BREAD BAGS,,,,,
Wicked10,10x20        Wicketed   bags,2000ctn,,,,
Wicked12,12x 171/ 8 Wicketed  bags,2500ctn,,,,
Wicked13,13x20        Wicketed   bags,1500ctn,,,,
Wicked14,10x14        (hot/ham),2500ctn,,,,
Wicked15x18,15x18        Wicketed  bags,2500ctn,,,,
,"DELI , BAKERY,GREASEPROOF BAGS ",,,,,
saddlebag,Plain saddle bags,2000ctn,,,,
delibag8,Deli bags  (printed) 8+8+2 lip,2000ctn,,,,
delibagspr,Deli bags  (printed) 10?x9? ,2000ctn,,,,
z iplock,Deli zip lock  bags 10x8,1000ctn,,,,
sandwichbag7,Greases proof sandwich bags 6x31/4x7  (small),1000ctn,,,,
sandwichbag9,Greases proof sandwich bags 6x2x9      (large),1000ctn,,,,
Sandwich6k,6.75x6.75 greaseproof  kraft bags,        1000pcs,,,,
sub,Printed submarine bag 4.5x2x16,1000ctn,,,,
baguette,Baguette bread bag with window (4x2x24),1000ctn,,,,
foilg,Foil garlic bag  (5x2x19),500ctn,,,,
bbq,Foil barbeque bags (5.5x3.5x12.5)  ,500ctn,,,,
vbag,Perferated   bag (6?x24)?  ,1000ctn,,,,
,KRAFT  BAGS,,,,,
Bag3,Brown paper bag 3lb,500pcs,,,,
Bag5,Brown paper bag 5lb,500pcs,,,,
bag8,Brown paper bag 8lb,500pcs,,,,
bag10,Brown paper bag 10lb,500pcs,,,,
bags,Kraft shopper with handle  (10x5x13),250ctn,,,,
bags12,Kraft shopper with handle (12x7x17),300ctn,,,,
sanisac,Brown wax disposable (sanisacs) (7x4x10) ,500pcs,,,,
,T-SHIRT/PRODUCE BAGS/TAKE OUT,,,,,
S5ld,T-shirt S5  (LDPE)    ,1000ctn,,,,
ts5,T -shirt bags  S5  (HDPE),2000ctn,,,,
S11bags,T shirt bags  S11 ,500ctn,,,,
S5,Printed t-shirt s5 (HDPE)  ,1000ctn,,,,
S1hd,T shirt bags  S1 (HD),4000ctn,,,,
sr,T shirt bags on roll (8.25x19)  8 x600  ,4800pcs,,,,
prodrolls,Star produce rolls    (4x750),3000ctn,,,,
frostedbag,Frosted take out bags,500ctn,,,,
,ICE BAGS,,,,,
iceb,Ice bag 10lb Printed (2 mil),1000ctn,,,,
,GARBAGE BAGS,,,,,
g20c,20x22 Clear utility,500pcs,,,,
g22b,22x24  Black utility,500pcs,,,,
g24,24x22 White utility     ,500pcs,,,,
g30br,30x38(black/regular),250pcs,,,,
g30cs,30x38(clear /strong),200pcs,,,,
g26cr,26x36 (clear/regular),250pcs,,,,
g26br,26x36 (black/Regular) ,250pcs,,,,
g26brb,26X36(black/Regular / Biodegradable ,250pcs,,,,
g26bs,26x36 (black/strong),200pcs,,,,
g26bx,26x36 (black x/strong),150pcs,,,,
,,,,,,
g35cro,35x47(clear/regular) ,250pcs,,,,
g35cso,35x50(clear/ strong),200pcs,,,,
